,y_pred,y_pred_fwd,delta_2h,T_set_adjust,Kp_mult,Ki_mult,Kd_mult,T_set
2024-07-25 19:00:00,19.680082128378764,17.91374837661226,-1.7663337517665028,0.5,1.2,1.1,1.0,22.5
2024-07-25 19:30:00,19.556051044949587,17.9168707481661,-1.6391802967834863,0.5,1.2,1.1,1.0,22.5
2024-07-25 20:00:00,18.65863273413969,18.06205062237207,-0.5965821117676207,0.2,1.1,1.05,1.0,22.2
2024-07-25 20:30:00,18.54531266715908,18.069983213833588,-0.47532945332549303,0.2,1.1,1.05,1.0,22.2
2024-07-25 21:00:00,17.91374837661226,18.11307756952446,0.19932919291219875,0.0,1.0,1.0,1.0,22.0
2024-07-25 21:30:00,17.9168707481661,18.224298066847737,0.3074273186816363,-0.2,0.9,0.9,1.1,21.8
2024-07-25 22:00:00,18.06205062237207,19.95609126411917,1.8940406417471003,-0.5,0.8,0.8,1.2,21.5
2024-07-25 22:30:00,18.069983213833588,19.767329152471447,1.6973459386378593,-0.5,0.8,0.8,1.2,21.5
2024-07-25 23:00:00,18.11307756952446,19.729647973221134,1.6165704036966737,-0.5,0.8,0.8,1.2,21.5
2024-07-25 23:30:00,18.224298066847737,19.990468048875115,1.7661699820273782,-0.5,0.8,0.8,1.2,21.5
2024-07-26 00:00:00,19.95609126411917,20.24853370689872,0.29244244277954934,0.0,1.0,1.0,1.0,22.0
2024-07-26 00:30:00,19.767329152471447,20.53093456522161,0.763605412750163,-0.2,0.9,0.9,1.1,21.8
2024-07-26 01:00:00,19.729647973221134,20.798659535962237,1.0690115627411032,-0.5,0.8,0.8,1.2,21.5
2024-07-26 01:30:00,19.990468048875115,21.15116360956139,1.1606955606862748,-0.5,0.8,0.8,1.2,21.5
2024-07-26 02:00:00,20.24853370689872,21.55405090719087,1.305517200292151,-0.5,0.8,0.8,1.2,21.5
2024-07-26 02:30:00,20.53093456522161,21.928666066380423,1.3977315011588125,-0.5,0.8,0.8,1.2,21.5
2024-07-26 03:00:00,20.798659535962237,22.342794267281853,1.544134731319616,-0.5,0.8,0.8,1.2,21.5
2024-07-26 03:30:00,21.15116360956139,22.71855445090327,1.5673908413418793,-0.5,0.8,0.8,1.2,21.5
2024-07-26 04:00:00,21.55405090719087,23.100373782636357,1.5463228754454867,-0.5,0.8,0.8,1.2,21.5
2024-07-26 04:30:00,21.928666066380423,23.480939637166706,1.5522735707862836,-0.5,0.8,0.8,1.2,21.5
2024-07-26 05:00:00,22.342794267281853,23.85961372089951,1.5168194536176571,-0.5,0.8,0.8,1.2,21.5
2024-07-26 05:30:00,22.71855445090327,24.14443420868299,1.4258797577797218,-0.5,0.8,0.8,1.2,21.5
2024-07-26 06:00:00,23.100373782636357,25.302773039274225,2.202399256637868,-0.5,0.8,0.8,1.2,21.5
2024-07-26 06:30:00,23.480939637166706,25.58331103089519,2.1023713937284825,-0.5,0.8,0.8,1.2,21.5
2024-07-26 07:00:00,23.85961372089951,26.574420159604216,2.7148064387047057,-0.5,0.8,0.8,1.2,21.5
2024-07-26 07:30:00,24.14443420868299,26.754080706714504,2.6096464980315126,-0.5,0.8,0.8,1.2,21.5
2024-07-26 08:00:00,25.302773039274225,26.1239842183893,0.8212111791150747,-0.2,0.9,0.9,1.1,21.8
2024-07-26 08:30:00,25.58331103089519,26.242265208967694,0.6589541780725057,-0.2,0.9,0.9,1.1,21.8
2024-07-26 09:00:00,26.574420159604216,25.471485045089548,-1.1029351145146684,0.5,1.2,1.1,1.0,22.5
2024-07-26 09:30:00,26.754080706714504,25.444303133501975,-1.3097775732125285,0.5,1.2,1.1,1.0,22.5
2024-07-26 10:00:00,26.1239842183893,26.14862770929333,0.02464349090402962,0.0,1.0,1.0,1.0,22.0
2024-07-26 10:30:00,26.242265208967694,26.160733512972737,-0.08153169599495769,0.0,1.0,1.0,1.0,22.0
2024-07-26 11:00:00,25.471485045089548,26.69834499935736,1.2268599542678125,-0.5,0.8,0.8,1.2,21.5
2024-07-26 11:30:00,25.444303133501975,26.388092926538807,0.9437897930368315,-0.2,0.9,0.9,1.1,21.8
2024-07-26 12:00:00,26.14862770929333,25.323741878581377,-0.8248858307119527,0.2,1.1,1.05,1.0,22.2
2024-07-26 12:30:00,26.160733512972737,25.274952971255537,-0.8857805417171996,0.2,1.1,1.05,1.0,22.2
2024-07-26 13:00:00,26.69834499935736,24.120991619525725,-2.577353379831635,0.5,1.2,1.1,1.0,22.5
2024-07-26 13:30:00,26.388092926538807,23.94241631995083,-2.445676606587977,0.5,1.2,1.1,1.0,22.5
2024-07-26 14:00:00,25.323741878581377,23.592488116556005,-1.7312537620253714,0.5,1.2,1.1,1.0,22.5
2024-07-26 14:30:00,25.274952971255537,23.283279927941752,-1.991673043313785,0.5,1.2,1.1,1.0,22.5
2024-07-26 15:00:00,24.120991619525725,22.868356108364104,-1.2526355111616212,0.5,1.2,1.1,1.0,22.5
2024-07-26 15:30:00,23.94241631995083,22.504101627086264,-1.4383146928645658,0.5,1.2,1.1,1.0,22.5
2024-07-26 16:00:00,23.592488116556005,22.959907376123788,-0.6325807404322177,0.2,1.1,1.05,1.0,22.2
2024-07-26 16:30:00,23.283279927941752,22.483816651388405,-0.7994632765533467,0.2,1.1,1.05,1.0,22.2
2024-07-26 17:00:00,22.868356108364104,22.78518655200685,-0.0831695563572552,0.0,1.0,1.0,1.0,22.0
2024-07-26 17:30:00,22.504101627086264,22.28875278687327,-0.21534884021299305,0.0,1.0,1.0,1.0,22.0
2024-07-26 18:00:00,22.959907376123788,21.186063908222266,-1.7738434679015214,0.5,1.2,1.1,1.0,22.5
2024-07-26 18:30:00,22.483816651388405,20.997221772293663,-1.486594879094742,0.5,1.2,1.1,1.0,22.5
2024-07-26 19:00:00,22.78518655200685,20.156128689186406,-2.629057862820442,0.5,1.2,1.1,1.0,22.5
2024-07-26 19:30:00,22.28875278687327,20.05420498948113,-2.2345477973921426,0.5,1.2,1.1,1.0,22.5
2024-07-26 20:00:00,21.186063908222266,19.896897140020247,-1.2891667682020191,0.5,1.2,1.1,1.0,22.5
2024-07-26 20:30:00,20.997221772293663,19.770283138276,-1.2269386340176638,0.5,1.2,1.1,1.0,22.5
2024-07-26 21:00:00,20.156128689186406,19.800261594804283,-0.3558670943821234,0.2,1.1,1.05,1.0,22.2
